comercio,anio,mes,rubro_uso,valor
Exportaciones,2021,01,Combustibles y energía (CyE),376812162.35
Exportaciones,2021,01,Manufacturas de origen agropecuario (MOA),2448137030.3
Exportaciones,2021,01,Manufacturas de origen industrial (MOI),1014476600.9
Exportaciones,2021,01,Productos primarios (PP),1072574103.3
Exportaciones,2021,02,Combustibles y energía (CyE),303520088.94
Exportaciones,2021,02,Manufacturas de origen agropecuario (MOA),2107066444.1
Exportaciones,2021,02,Manufacturas de origen industrial (MOI),1285362735.7
Exportaciones,2021,02,Productos primarios (PP),1079049726.2
Exportaciones,2021,03,Combustibles y energía (CyE),287315324.84
Exportaciones,2021,03,Manufacturas de origen agropecuario (MOA),2442269124.7
Exportaciones,2021,03,Manufacturas de origen industrial (MOI),1451870312.6
Exportaciones,2021,03,Productos primarios (PP),1538544034.6
Exportaciones,2021,04,Combustibles y energía (CyE),218502866.4
Exportaciones,2021,04,Manufacturas de origen agropecuario (MOA),2845266690.4
Exportaciones,2021,04,Manufacturas de origen industrial (MOI),1255718235.6
Exportaciones,2021,04,Productos primarios (PP),1823510907.5
Exportaciones,2021,05,Combustibles y energía (CyE),365099552.45
Exportaciones,2021,05,Manufacturas de origen agropecuario (MOA),2830445373
Exportaciones,2021,05,Manufacturas de origen industrial (MOI),1655772752.5
Exportaciones,2021,05,Productos primarios (PP),1961373533.3
Exportaciones,2021,06,Combustibles y energía (CyE),377094754.57
Exportaciones,2021,06,Manufacturas de origen agropecuario (MOA),2759417424.7
Exportaciones,2021,06,Manufacturas de origen industrial (MOI),1853326574.6
Exportaciones,2021,06,Productos primarios (PP),2020014984.3
Exportaciones,2021,07,Combustibles y energía (CyE),384165376.85
Exportaciones,2021,07,Manufacturas de origen agropecuario (MOA),2619081302.2
Exportaciones,2021,07,Manufacturas de origen industrial (MOI),1888376501.3
Exportaciones,2021,07,Productos primarios (PP),2360283752.9
Exportaciones,2021,08,Combustibles y energía (CyE),614052256.12
Exportaciones,2021,08,Manufacturas de origen agropecuario (MOA),2738852256.1
Exportaciones,2021,08,Manufacturas de origen industrial (MOI),1979599421.9
Exportaciones,2021,08,Productos primarios (PP),2766352297.9
Exportaciones,2021,09,Combustibles y energía (CyE),582858295
Exportaciones,2021,09,Manufacturas de origen agropecuario (MOA),2866845880
Exportaciones,2021,09,Manufacturas de origen industrial (MOI),1830573322.2
Exportaciones,2021,09,Productos primarios (PP),2289911793.2
Exportaciones,2021,10,Combustibles y energía (CyE),590223053.89
Exportaciones,2021,10,Manufacturas de origen agropecuario (MOA),2514194454.7
Exportaciones,2021,10,Manufacturas de origen industrial (MOI),1931958855.4
Exportaciones,2021,10,Productos primarios (PP),1826193733.3
Exportaciones,2021,11,Combustibles y energía (CyE),557310197.95
Exportaciones,2021,11,Manufacturas de origen agropecuario (MOA),2439848950.7
Exportaciones,2021,11,Manufacturas de origen industrial (MOI),1875738103.8
Exportaciones,2021,11,Productos primarios (PP),1318290928.8
Exportaciones,2021,12,Combustibles y energía (CyE),626653365.04
Exportaciones,2021,12,Manufacturas de origen agropecuario (MOA),2317320207.8
Exportaciones,2021,12,Manufacturas de origen industrial (MOI),1890665164.2
Exportaciones,2021,12,Productos primarios (PP),1752424177.5
Exportaciones,2022,01,Combustibles y energía (CyE),535240844.5
Exportaciones,2022,01,Manufacturas de origen agropecuario (MOA),1829352797.2
Exportaciones,2022,01,Manufacturas de origen industrial (MOI),1301258076.7
Exportaciones,2022,01,Productos primarios (PP),1882054864.4
Exportaciones,2022,02,Combustibles y energía (CyE),717100045.46
Exportaciones,2022,02,Manufacturas de origen agropecuario (MOA),2173669465.7
Exportaciones,2022,02,Manufacturas de origen industrial (MOI),1729843144.7
Exportaciones,2022,02,Productos primarios (PP),1831709007.2
Exportaciones,2022,03,Combustibles y energía (CyE),693560932.69
Exportaciones,2022,03,Manufacturas de origen agropecuario (MOA),2680555125.8
Exportaciones,2022,03,Manufacturas de origen industrial (MOI),1897188070.7
Exportaciones,2022,03,Productos primarios (PP),2082785822.2
Exportaciones,2022,04,Combustibles y energía (CyE),726023513.17
Exportaciones,2022,04,Manufacturas de origen agropecuario (MOA),3269384056.6
Exportaciones,2022,04,Manufacturas de origen industrial (MOI),2046253054.4
Exportaciones,2022,04,Productos primarios (PP),2295478179.5
Exportaciones,2022,05,Combustibles y energía (CyE),562041336.06
Exportaciones,2022,05,Manufacturas de origen agropecuario (MOA),3646248277.5
Exportaciones,2022,05,Manufacturas de origen industrial (MOI),1930329213.5
Exportaciones,2022,05,Productos primarios (PP),2114924077.1
Exportaciones,2022,06,Combustibles y energía (CyE),785640170.79
Exportaciones,2022,06,Manufacturas de origen agropecuario (MOA),3451774244
Exportaciones,2022,06,Manufacturas de origen industrial (MOI),2160193511.7
Exportaciones,2022,06,Productos primarios (PP),2035209385.3
Exportaciones,2022,07,Combustibles y energía (CyE),499358320.75
Exportaciones,2022,07,Manufacturas de origen agropecuario (MOA),2928393882.1
Exportaciones,2022,07,Manufacturas de origen industrial (MOI),1946128627.1
Exportaciones,2022,07,Productos primarios (PP),2431418408.1
Exportaciones,2022,08,Combustibles y energía (CyE),777078592.55
Exportaciones,2022,08,Manufacturas de origen agropecuario (MOA),2839804769.8
Exportaciones,2022,08,Manufacturas de origen industrial (MOI),1935800514.3
Exportaciones,2022,08,Productos primarios (PP),1988408045.9
Exportaciones,2022,09,Combustibles y energía (CyE),850642065.53
Exportaciones,2022,09,Manufacturas de origen agropecuario (MOA),2535095849.1
Exportaciones,2022,09,Manufacturas de origen industrial (MOI),2060767321.2
Exportaciones,2022,09,Productos primarios (PP),2071879244.6
Exportaciones,2022,10,Combustibles y energía (CyE),825472601.42
Exportaciones,2022,10,Manufacturas de origen agropecuario (MOA),2512396693
Exportaciones,2022,10,Manufacturas de origen industrial (MOI),2285064120.8
Exportaciones,2022,10,Productos primarios (PP),2339045363.9
Exportaciones,2022,11,Combustibles y energía (CyE),579014296.54
Exportaciones,2022,11,Manufacturas de origen agropecuario (MOA),2900117958.5
Exportaciones,2022,11,Manufacturas de origen industrial (MOI),2096581943.1
Exportaciones,2022,11,Productos primarios (PP),1513285818.9
Importaciones,2021,01,Bienes de capital (BK),725422023.5
Importaciones,2021,01,Bienes intermedios (BI),1415901280.6
Importaciones,2021,01,Combustibles y lubricantes (CyL),266445962.04
Importaciones,2021,01,Piezas y accesorios para bienes de capital (PyA),744037532.52
Importaciones,2021,01,Bienes de consumo (BC),501462296.75
Importaciones,2021,01,Vehículos automotores de pasajeros (VA),157808258.62
Importaciones,2021,01,Resto,32470034.05
Importaciones,2021,02,Bienes de capital (BK),729248685.43
Importaciones,2021,02,Bienes intermedios (BI),1408874947.8
Importaciones,2021,02,Combustibles y lubricantes (CyL),173369250.47
Importaciones,2021,02,Piezas y accesorios para bienes de capital (PyA),744185217.41
Importaciones,2021,02,Bienes de consumo (BC),448992891.4
Importaciones,2021,02,Vehículos automotores de pasajeros (VA),173338298.21
Importaciones,2021,02,Resto,34667303.43
Importaciones,2021,03,Bienes de capital (BK),853762604.58
Importaciones,2021,03,Bienes intermedios (BI),2250526684.9
Importaciones,2021,03,Combustibles y lubricantes (CyL),304271006.46
Importaciones,2021,03,Piezas y accesorios para bienes de capital (PyA),1048361379.2
Importaciones,2021,03,Bienes de consumo (BC),652061258.91
Importaciones,2021,03,Vehículos automotores de pasajeros (VA),166044597.71
Importaciones,2021,03,Resto,45144035.93
Importaciones,2021,04,Bienes de capital (BK),738342447.59
Importaciones,2021,04,Bienes intermedios (BI),1944620530.1
Importaciones,2021,04,Combustibles y lubricantes (CyL),286037347.17
Importaciones,2021,04,Piezas y accesorios para bienes de capital (PyA),948007931.48
Importaciones,2021,04,Bienes de consumo (BC),553847010.49
Importaciones,2021,04,Vehículos automotores de pasajeros (VA),157590512
Importaciones,2021,04,Resto,44361351.88
Importaciones,2021,05,Bienes de capital (BK),744666649.15
Importaciones,2021,05,Bienes intermedios (BI),2114135424.2
Importaciones,2021,05,Combustibles y lubricantes (CyL),489530869.36
Importaciones,2021,05,Piezas y accesorios para bienes de capital (PyA),1016539062.1
Importaciones,2021,05,Bienes de consumo (BC),588220525.79
Importaciones,2021,05,Vehículos automotores de pasajeros (VA),137132084.81
Importaciones,2021,05,Resto,50777037.94
Importaciones,2021,06,Bienes de capital (BK),851585386.93
Importaciones,2021,06,Bienes intermedios (BI),2496125566.3
Importaciones,2021,06,Combustibles y lubricantes (CyL),761186682.71
Importaciones,2021,06,Piezas y accesorios para bienes de capital (PyA),1038289684.1
Importaciones,2021,06,Bienes de consumo (BC),583593818.08
Importaciones,2021,06,Vehículos automotores de pasajeros (VA),123831103.67
Importaciones,2021,06,Resto,54169230.49
Importaciones,2021,07,Bienes de capital (BK),764537299.76
Importaciones,2021,07,Bienes intermedios (BI),2442576210.3
Importaciones,2021,07,Combustibles y lubricantes (CyL),718183673.49
Importaciones,2021,07,Piezas y accesorios para bienes de capital (PyA),990229135.75
Importaciones,2021,07,Bienes de consumo (BC),606902418.66
Importaciones,2021,07,Vehículos automotores de pasajeros (VA),141480078.29
Importaciones,2021,07,Resto,51529561.48
Importaciones,2021,08,Bienes de capital (BK),801687109.42
Importaciones,2021,08,Bienes intermedios (BI),2329597880.7
Importaciones,2021,08,Combustibles y lubricantes (CyL),794110446.87
Importaciones,2021,08,Piezas y accesorios para bienes de capital (PyA),1047392548.9
Importaciones,2021,08,Bienes de consumo (BC),589535922.57
Importaciones,2021,08,Vehículos automotores de pasajeros (VA),135629362.54
Importaciones,2021,08,Resto,55690717.4
Importaciones,2021,09,Bienes de capital (BK),978546349.41
Importaciones,2021,09,Bienes intermedios (BI),2487331244.1
Importaciones,2021,09,Combustibles y lubricantes (CyL),447852306.75
Importaciones,2021,09,Piezas y accesorios para bienes de capital (PyA),1092897595.6
Importaciones,2021,09,Bienes de consumo (BC),698235571.47
Importaciones,2021,09,Vehículos automotores de pasajeros (VA),124202039.26
Importaciones,2021,09,Resto,56616944.82
Importaciones,2021,10,Bienes de capital (BK),869132406.42
Importaciones,2021,10,Bienes intermedios (BI),2227328894.1
Importaciones,2021,10,Combustibles y lubricantes (CyL),393127028.04
Importaciones,2021,10,Piezas y accesorios para bienes de capital (PyA),991161543.65
Importaciones,2021,10,Bienes de consumo (BC),605606112.55
Importaciones,2021,10,Vehículos automotores de pasajeros (VA),104042240.92
Importaciones,2021,10,Resto,56833910.61
Importaciones,2021,11,Bienes de capital (BK),955623624.59
Importaciones,2021,11,Bienes intermedios (BI),2350533498.3
Importaciones,2021,11,Combustibles y lubricantes (CyL),501270529.21
Importaciones,2021,11,Piezas y accesorios para bienes de capital (PyA),1102340936.2
Importaciones,2021,11,Bienes de consumo (BC),668599415.23
Importaciones,2021,11,Vehículos automotores de pasajeros (VA),135015642.43
Importaciones,2021,11,Resto,53652395.6
Importaciones,2021,12,Bienes de capital (BK),1168427765.1
Importaciones,2021,12,Bienes intermedios (BI),2290564823.4
Importaciones,2021,12,Combustibles y lubricantes (CyL),707806461.71
Importaciones,2021,12,Piezas y accesorios para bienes de capital (PyA),1126986551.5
Importaciones,2021,12,Bienes de consumo (BC),738968510.15
Importaciones,2021,12,Vehículos automotores de pasajeros (VA),135392561.44
Importaciones,2021,12,Resto,47588329.92
Importaciones,2022,01,Bienes de capital (BK),997955428.21
Importaciones,2022,01,Bienes intermedios (BI),2075558028
Importaciones,2022,01,Combustibles y lubricantes (CyL),362832127.96
Importaciones,2022,01,Piezas y accesorios para bienes de capital (PyA),965676887.59
Importaciones,2022,01,Bienes de consumo (BC),681638112.36
Importaciones,2022,01,Vehículos automotores de pasajeros (VA),119320424.5
Importaciones,2022,01,Resto,48341069.09
Importaciones,2022,02,Bienes de capital (BK),914182093.79
Importaciones,2022,02,Bienes intermedios (BI),1955547039.2
Importaciones,2022,02,Combustibles y lubricantes (CyL),901028582.07
Importaciones,2022,02,Piezas y accesorios para bienes de capital (PyA),1043618513.2
Importaciones,2022,02,Bienes de consumo (BC),641842486.74
Importaciones,2022,02,Vehículos automotores de pasajeros (VA),132113085.67
Importaciones,2022,02,Resto,46064336.07
Importaciones,2022,03,Bienes de capital (BK),1176597673.2
Importaciones,2022,03,Bienes intermedios (BI),2666762172.6
Importaciones,2022,03,Combustibles y lubricantes (CyL),909115049.08
Importaciones,2022,03,Piezas y accesorios para bienes de capital (PyA),1261218678.3
Importaciones,2022,03,Bienes de consumo (BC),849631630.21
Importaciones,2022,03,Vehículos automotores de pasajeros (VA),163812404.85
Importaciones,2022,03,Resto,55558730.35
Importaciones,2022,04,Bienes de capital (BK),1051614784.2
Importaciones,2022,04,Bienes intermedios (BI),2741760952.2
Importaciones,2022,04,Combustibles y lubricantes (CyL),867068338.5
Importaciones,2022,04,Piezas y accesorios para bienes de capital (PyA),1280169908
Importaciones,2022,04,Bienes de consumo (BC),702838170.07
Importaciones,2022,04,Vehículos automotores de pasajeros (VA),182657327.39
Importaciones,2022,04,Resto,57045916.21
Importaciones,2022,05,Bienes de capital (BK),1043226043.3
Importaciones,2022,05,Bienes intermedios (BI),2874027536.2
Importaciones,2022,05,Combustibles y lubricantes (CyL),1616280938.9
Importaciones,2022,05,Piezas y accesorios para bienes de capital (PyA),1392017942
Importaciones,2022,05,Bienes de consumo (BC),725256192.29
Importaciones,2022,05,Vehículos automotores de pasajeros (VA),171283220.6
Importaciones,2022,05,Resto,63429691.8
Importaciones,2022,06,Bienes de capital (BK),1106963746.8
Importaciones,2022,06,Bienes intermedios (BI),3140596014.9
Importaciones,2022,06,Combustibles y lubricantes (CyL),2070265694.5
Importaciones,2022,06,Piezas y accesorios para bienes de capital (PyA),1378114555.3
Importaciones,2022,06,Bienes de consumo (BC),719594259.71
Importaciones,2022,06,Vehículos automotores de pasajeros (VA),191268592.73
Importaciones,2022,06,Resto,57363578.86
Importaciones,2022,07,Bienes de capital (BK),943164638.69
Importaciones,2022,07,Bienes intermedios (BI),2718594743.2
Importaciones,2022,07,Combustibles y lubricantes (CyL),2360589182
Importaciones,2022,07,Piezas y accesorios para bienes de capital (PyA),1301127976.3
Importaciones,2022,07,Bienes de consumo (BC),714852648.58
Importaciones,2022,07,Vehículos automotores de pasajeros (VA),199930742.18
Importaciones,2022,07,Resto,50869936.33
Importaciones,2022,08,Bienes de capital (BK),1158986606.6
Importaciones,2022,08,Bienes intermedios (BI),2973600077.6
Importaciones,2022,08,Combustibles y lubricantes (CyL),1336016172.6
Importaciones,2022,08,Piezas y accesorios para bienes de capital (PyA),1387076482.3
Importaciones,2022,08,Bienes de consumo (BC),763696672.98
Importaciones,2022,08,Vehículos automotores de pasajeros (VA),150923062.58
Importaciones,2022,08,Resto,66724395.91
Importaciones,2022,09,Bienes de capital (BK),1121352507.5
Importaciones,2022,09,Bienes intermedios (BI),2597151652.7
Importaciones,2022,09,Combustibles y lubricantes (CyL),934165462.64
Importaciones,2022,09,Piezas y accesorios para bienes de capital (PyA),1480669747.8
Importaciones,2022,09,Bienes de consumo (BC),753780057.09
Importaciones,2022,09,Vehículos automotores de pasajeros (VA),192641391.92
Importaciones,2022,09,Resto,57282857.5
Importaciones,2022,10,Bienes de capital (BK),996328865.03
Importaciones,2022,10,Bienes intermedios (BI),2333575417.9
Importaciones,2022,10,Combustibles y lubricantes (CyL),606563453.83
Importaciones,2022,10,Piezas y accesorios para bienes de capital (PyA),1231443437.1
Importaciones,2022,10,Bienes de consumo (BC),676186471.44
Importaciones,2022,10,Vehículos automotores de pasajeros (VA),202281120.69
Importaciones,2022,10,Resto,32637661.27
Importaciones,2022,11,Bienes de capital (BK),1071387393.8
Importaciones,2022,11,Bienes intermedios (BI),2083538409.2
Importaciones,2022,11,Combustibles y lubricantes (CyL),455423373.36
Importaciones,2022,11,Piezas y accesorios para bienes de capital (PyA),1290300319.6
Importaciones,2022,11,Bienes de consumo (BC),660930269.83
Importaciones,2022,11,Vehículos automotores de pasajeros (VA),161917555.12
Importaciones,2022,11,Resto,26119133.71
